# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.2-SNAPSHOT

atta._rufur_, string, 80016E
atta.grimmjoow, string, 80016E
atta.inspecteur_cf, string, 80016E
chargement._rufur_, double, 4039000000000000
chargement.fanfoi, long, 0000000000000000
chargement.grimmjoow, double, 4049000000000000
chargement.inspecteur_cf, double, 4059000000000000
coffre::1, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E6538350178094046400000000000017909404CC00000000000017A094041C000000000000570697463680800000000037961770800000000
coffre::2, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E65383501780940609000000000000179094051E00000000000017A09C058E000000000000570697463680800000000037961770800000000
coffre::3, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E653835017809403B8000000000000179094051200000000000017A0940516000000000000570697463680800000000037961770800000000
coffre::4, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E653835017809C0368000000000000179094051200000000000017A09404FC000000000000570697463680800000000037961770800000000
coffre::5, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E653835017809C042C000000000000179094050E00000000000017A0940414000000000000570697463680800000000037961770800000000
coffre::6, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E653835017809C04B4000000000000179094051E00000000000017A0940348000000000000570697463680800000000037961770800000000
coffre::7, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E653835017809C045C00000000000017909404FC00000000000017A09C0398000000000000570697463680800000000037961770800000000
coffre::8, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E653835017809401A0000000000000179094050200000000000017A09C0454000000000000570697463680800000000037961770800000000
coffre::9, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E6538350178094038800000000000017909404D400000000000017A09C02B0000000000000570697463680800000000037961770800000000
coffre::10, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E653835017809403B800000000000017909404DC00000000000017A09C0378000000000000570697463680800000000037961770800000000
coffre::11, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E653835017809403D800000000000017909404CC00000000000017A09C0512000000000000570697463680800000000037961770800000000
coffre::12, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E6538350178094033800000000000017909404CC00000000000017A09C0474000000000000570697463680800000000037961770800000000
coffre::13, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E653835017809C043400000000000017909404CC00000000000017A094042C000000000000570697463680800000000037961770800000000
coffre::14, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E653835017809C040400000000000017909404CC00000000000017A09405B2000000000000570697463680800000000037961770800000000
coffre::15, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E653835017809C029000000000000017909404CC00000000000017A0940484000000000000570697463680800000000037961770800000000
coffre::16, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E6538350178094025000000000000017909404CC00000000000017A0940444000000000000570697463680800000000037961770800000000
coffre::17, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E653835017809C04F400000000000017909404E400000000000017A0940474000000000000570697463680800000000037961770800000000
coffre::18, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E653835017809C050E00000000000017909404CC00000000000017A094051A000000000000570697463680800000000037961770800000000
coffre::19, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E653835017809403F800000000000017909404E400000000000017A0940566000000000000570697463680800000000037961770800000000
coffre::20, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E653835017809C05BA000000000000179094054E00000000000017A09C048C000000000000570697463680800000000037961770800000000
coffre::21, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E6538350178094055A000000000000179094050A00000000000017A09404A4000000000000570697463680800000000037961770800000000
coffre::22, location, 8605776F726C6480FF0000000181046E616D652080095468655A6F6E653835017809C05E600000000000017909404CC00000000000017A09C045C000000000000570697463680800000000037961770800000000
